name,mpg,cylinders,displacement,horsepower,weight,acceleration,model_year,origin, creator, price
pontiac phoenix lj 1978,19.2,6,231.0,105.0,3535,19.2,1978,usa,pontiac,5000
chevrolet malibu 1978,20.5,6,200.0,95.0,3155,18.2,1978,usa,chevrolet,7000
ford fairmont 1978,20.2,6,200.0,85.0,2965,15.8,1978,usa,ford,5500
plymouth volare 1978,20.5,6,225.0,100.0,3430,17.2,1978,usa,plymouth,5500
amc concord 1978,19.4,6,232.0,90.0,3210,17.2,1978,usa,amc,5500
mercury zephyr 1978,20.8,6,200.0,85.0,3070,16.7,1978,usa,mercury,4000
dodge aspen 1978,18.6,6,225.0,110.0,3620,18.7,1978,usa,dodge,6000
amc concord d/l 1978,18.1,6,258.0,120.0,3410,15.1,1978,usa,amc,3100
chevrolet monte carlo landau 1978,19.2,8,305.0,145.0,3425,13.2,1978,usa,chevrolet,11500
buick regal sport coupe turbo 1978,17.7,6,231.0,165.0,3445,13.4,1978,usa,buick,5700
ford futura 1978,18.1,8,302.0,139.0,3205,11.2,1978,usa,ford,5500
dodge magnum xe 1978,17.5,8,318.0,140.0,4080,13.7,1978,usa,dodge,12000
chevrolet chevette 1978,30.0,4,98.0,68.0,2155,16.5,1978,usa,chevrolet,7500
toyota corona 1978,27.5,4,134.0,95.0,2560,14.2,1978,japan,toyota,4000
datsun 510 1978,27.2,4,119.0,97.0,2300,14.7,1978,japan,datsun,5000
dodge omni 1978,30.9,4,105.0,75.0,2230,14.5,1978,usa,dodge,3000
toyota celica gt liftback 1978,21.1,4,134.0,95.0,2515,14.8,1978,japan,toyota,9000
plymouth sapporo 1978,23.2,4,156.0,105.0,2745,16.7,1978,usa,plymouth,6100
oldsmobile starfire sx 1978,23.8,4,151.0,85.0,2855,17.6,1978,usa,oldsmobile,3000
datsun 200-sx 1978,23.9,4,119.0,97.0,2405,14.9,1978,japan,datsun,5500
audi 5000 1978,20.3,5,131.0,103.0,2830,15.9,1978,europe,audi,4400
volvo 264 gl 1978,17.0,6,163.0,125.0,3140,13.6,1978,europe,volvo,6500
saab 99 gl 1978,21.6,4,121.0,115.0,2795,15.7,1978,europe,saab,4400
peugeot 604 sl 1978,16.2,6,163.0,133.0,3410,15.8,1978,europe,peugeot,6000
volkswagen scirocco 1978,31.5,4,89.0,71.0,1990,14.9,1978,europe,volkswagen,8900
honda accord lx 1978,29.5,4,98.0,68.0,2135,16.6,1978,japan,honda,7000
mercury zephyr 1979,19.8,6,200.0,85.0,2990,18.2,1979,usa,mercury,6000
ford fairmont 1979,22.3,4,140.0,88.0,2890,17.3,1979,usa,ford,3000
amc concord dl 1979,20.2,6,232.0,90.0,3265,18.2,1979,usa,amc,4500
dodge aspen 1979,20.6,6,225.0,110.0,3360,16.6,1979,usa,dodge,4000
chevrolet caprice classic 1979,17.0,8,305.0,130.0,3840,15.4,1979,usa,chevrolet,6500
ford ltd landau 1979,17.6,8,302.0,129.0,3725,13.4,1979,usa,ford,6500
mercury grand marquis 1979,16.5,8,351.0,138.0,3955,13.2,1979,usa,mercury,7700
dodge st.regis 1979,18.2,8,318.0,135.0,3830,15.2,1979,usa,dodge,3000
buick estate wagon 1979,16.9,8,350.0,155.0,4360,14.9,1979,usa,buick,11900
chevrolet malibu classic 1979,19.2,8,267.0,125.0,3605,15.0,1979,usa,chevrolet,10000
chrysler lebaron town & country 1979,18.5,8,360.0,150.0,3940,13.0,1979,usa,chrysler,9600
volkswagen rabbit custom 1979,31.9,4,89.0,71.0,1925,14.0,1979,europe,volkswagen,8000
amc spirit dl 1979,27.4,4,121.0,80.0,2670,15.0,1979,usa,amc,6500
mercedes benz 300d 1979,25.4,5,183.0,77.0,3530,20.1,1979,europe,mercedes,12000
peugeot 504 1979,27.2,4,141.0,71.0,3190,24.8,1979,europe,peugeot,8500
oldsmobile cutlass salon brougham 1979,23.9,8,260.0,90.0,3420,22.2,1979,usa,oldsmobile,11500
plymouth horizon 1979,34.2,4,105.0,70.0,2200,13.2,1979,usa,plymouth,3000
plymouth horizon tc3 1979,34.5,4,105.0,70.0,2150,14.9,1979,usa,plymouth,3000
datsun 210 1979,31.8,4,85.0,65.0,2020,19.2,1979,japan,datsun,3000
fiat strada custom 1979,37.3,4,91.0,69.0,2130,14.7,1979,europe,fiat,5000
buick skylark limited 1979,28.4,4,151.0,90.0,2670,16.0,1979,usa,buick,9350
chevrolet citation 1979,28.8,6,173.0,115.0,2595,11.3,1979,usa,chevrolet,6000
oldsmobile omega brougham 1979,26.8,6,173.0,115.0,2700,12.9,1979,usa,oldsmobile,2500
pontiac phoenix 1979,33.5,4,151.0,90.0,2556,13.2,1979,usa,pontiac,5000
volkswagen rabbit 1980,41.5,4,98.0,76.0,2144,14.7,1980,europe,volkswagen,5500
toyota corolla tercel 1980,38.1,4,89.0,60.0,1968,18.8,1980,japan,toyota,4500
chevrolet chevette 1980,32.1,4,98.0,70.0,2120,15.5,1980,usa,chevrolet,4500
datsun 310 1980,37.2,4,86.0,65.0,2019,16.4,1980,japan,datsun,3500
chevrolet citation 1980,28.0,4,151.0,90.0,2678,16.5,1980,usa,chevrolet,5900
ford fairmont 1980,26.4,4,140.0,88.0,2870,18.1,1980,usa,ford,5500
amc concord 1980,24.3,4,151.0,90.0,3003,20.1,1980,usa,amc,5500
dodge aspen 1980,19.1,6,225.0,90.0,3381,18.7,1980,usa,dodge,5500
audi 4000 1980,34.3,4,97.0,78.0,2188,15.8,1980,europe,audi,7000
toyota corona liftback 1980,29.8,4,134.0,90.0,2711,15.5,1980,japan,toyota,6500
mazda 626 1980,31.3,4,120.0,75.0,2542,17.5,1980,japan,mazda,7000
toyota corolla 1980,32.2,4,108.0,75.0,2265,15.2,1980,japan,toyota,6500
mazda glc 1980,46.6,4,86.0,65.0,2110,17.9,1980,japan,mazda,6000
dodge colt 1980,27.9,4,156.0,105.0,2800,14.4,1980,usa,dodge,5900
datsun 210 1980,40.8,4,85.0,65.0,2110,19.2,1980,japan,datsun,5500
volkswagen rabbit c 1980,44.3,4,90.0,48.0,2085,21.7,1980,europe,volkswagen,5500
volkswagen dasher 1980,43.4,4,90.0,48.0,2335,23.7,1980,europe,volkswagen,5500
audi 5000s 1980,36.4,5,121.0,67.0,2950,19.9,1980,europe,audi,11000
mercedes-benz 240d 1980,30.0,4,146.0,67.0,3250,21.8,1980,europe,mercedes,15000
honda civic 1500 gl 1980,44.6,4,91.0,67.0,1850,13.8,1980,japan,honda,7500
subaru dl 1980,33.8,4,97.0,67.0,2145,18.0,1980,japan,subaru,7500
volkswagen rabbit 1980,29.8,4,89.0,62.0,1845,15.3,1980,europe,volkswagen,6500
datsun 280-zx 1980,32.7,6,168.0,132.0,2910,11.4,1980,japan,datsun,10000
mazda rx-7 gs 1980,23.7,3,70.0,100.0,2420,12.5,1980,japan,mazda,11000
ford mustang cobra 1980,23.6,4,140.0,2905,14.3,1980,usa,ford,11500
honda accord 1980,32.4,4,107.0,72.0,2290,17.0,1980,japan,honda,5200
buick skylark 1981,26.6,4,151.0,84.0,2635,16.4,1981,usa,buick,5000
dodge aries wagon 1981,25.8,4,156.0,92.0,2620,14.4,1981,usa,dodge,5100
toyota starlet 1981,39.1,4,79.0,58.0,1755,16.9,1981,japan,toyota,4500
honda civic 1300 1981,35.1,4,81.0,60.0,1760,16.1,1981,japan,honda,5000
datsun 210 mpg 1981,37.0,4,85.0,65.0,1975,19.4,1981,japan,datsun,4000
toyota tercel 1981,37.7,4,89.0,62.0,2050,17.3,1981,japan,toyota,3000
ford escort 4w 1981,34.4,4,98.0,65.0,2045,16.2,1981,usa,ford,5500
ford escort 2h 1981,29.9,4,98.0,65.0,2380,20.7,1981,usa,ford,5800
volkswagen jetta 1981,33.0,4,105.0,74.0,2190,14.2,1981,europe,volkswagen,21900
renault 18i 1981,34.5,4,100.0,,2320,15.8,1981,europe,renault,5000
honda prelude 1981,33.7,4,107.0,75.0,2210,14.4,1981,japan,honda,7500
toyota corolla 1981,32.4,4,108.0,75.0,2350,16.8,1981,japan,toyota,7500
datsun 200sx 1981,32.9,4,119.0,100.0,2615,14.8,1981,japan,datsun,10500
mazda 626 1981,31.6,4,120.0,74.0,2635,18.3,1981,japan,mazda,7000
peugeot 505s turbo diesel 1981,28.1,4,141.0,80.0,3230,20.4,1981,europe,peugeot,6000
volvo 245 1981,30.7,6,145.0,76.0,3160,19.6,1981,europe,volvo,10400
toyota cressida 1981,25.4,6,168.0,116.0,2900,12.6,1981,japan,toyota,8000
datsun 810 maxima 1981,24.2,6,146.0,120.0,2930,13.8,1981,japan,datsun,3500
buick century 1981,22.4,6,231.0,110.0,3415,15.8,1981,usa,buick,7650
oldsmobile cutlass ls 1981,26.6,8,350.0,105.0,3725,19.0,1981,usa,oldsmobile,8000
ford granada gl 1981,20.2,6,200.0,88.0,3060,17.1,1981,usa,ford,10500
chrysler lebaron salon 1981,17.6,6,225.0,85.0,3465,16.6,1981,usa,chrysler,4000
chevrolet cavalier wagon 1982,27.0,4,112.0,88.0,2640,18.6,1982,usa,chevrolet,2600
chevrolet cavalier 2-door 1982,34.0,4,112.0,88.0,2395,18.0,1982,usa,chevrolet,1150
pontiac j2000 se hatchback 1982,31.0,4,112.0,85.0,2575,16.2,1982,usa,pontiac,5000
dodge aries se 1982,29.0,4,135.0,84.0,2525,16.0,1982,usa,dodge,5000
pontiac phoenix 1982,27.0,4,151.0,90.0,2735,18.0,1982,usa,pontiac,8000
ford fairmont futura 1982,24.0,4,140.0,92.0,2865,16.4,1982,usa,ford,5700
amc concord dl 1982,23.0,4,151.0,,3035,20.5,1982,usa,amc,5000
volkswagen rabbit l 1982,36.0,4,105.0,74.0,1980,15.3,1982,europe,volkswagen,5900
mazda glc custom 1982,31.0,4,91.0,68.0,1970,17.6,1982,japan,mazda,5000
mercury lynx l 1982,36.0,4,98.0,70.0,2125,17.3,1982,usa,mercury,4000
